user_id_new	wm_poi_id_new
22457	721
1769	86
989	366
1521	514
22781	2607
19997	128
20026	772
1430	177
1794	177
18011	162
2035	57
25579	165
895	145
3264	215
2548	812
1269	163
22750	69
17469	645
4404	98
2569	2731
21889	2857
18363	688
17901	115
3207	198
18370	291
21973	120
2197	621
1007	35
22456	382
1955	475
22533	718
22757	216
18339	411
19943	262
2166	841
2535	248
3192	211
4776	111
17877	175
982	51
1030	642
2507	24
875	148
24736	148
8054	722
20249	89
634	338
1141	449
19835	533
7015	459
18443	653
1751	527
8077	398
2813	1804
10557	1370
24911	130
1068	82
3155	1077
2210	71
17918	586
25080	293
1646	191
2987	563
19777	1196
18417	362
24894	264
19927	182
1103	100
18484	346
1125	801
24640	538
17932	607
25543	451
2270	179
1989	532
19338	627
3108	54
22842	674
2517	1276
2514	501
1687	73
17905	177
22898	1627
20003	805
2646	1292
1650	1924
4802	309
868	1139
2622	39
10562	841
4662	785
2357	866
1235	38
18346	562
2058	630
3223	729
3081	509
2603	1978
1704	381
18417	142
11166	182
22982	104
961	670
2340	295
4471	619
9462	95
950	548
22412	505
3941	499
18058	2735
20038	598
18379	89
1533	146
2294	370
17864	359
2136	627
2975	126
1800	27
1707	10
1240	134
1955	493
1285	595
22950	335
1435	694
2652	27
1704	27
19854	10
20220	552
20172	76
4831	622
8070	753
1030	54
22453	478
2644	501
18034	688
2056	272
18263	248
2506	78
22452	898
1959	488
3272	381
19922	165
871	52
1663	58
2989	570
21909	375
1626	432
18618	655
18564	523
4592	1224
4817	253
1552	722
1169	544
6713	290
25101	98
2345	258
1993	3
18594	324
7248	33
14081	163
18290	382
17893	577
1023	698
17852	130
22458	167
1274	1253
1388	2858
1317	88
25105	24
1029	80
924	100
2563	587
21959	145
1535	474
22885	108
791	570
1281	684
20152	835
18230	153
20175	992
2547	548
17631	488
3204	177
1092	152
2152	57
2568	491
1415	265
1263	743
1077	211
2610	659
4464	753
4765	796
20235	27
3281	169
22841	490
4445	513
1907	44
1234	2739
1180	220
4400	146
4400	146
2388	323
2303	416
2530	242
4397	722
1761	506
25740	567
2814	208
1461	54
2626	738
810	169
1455	100
2356	285
1402	1099
3142	31
12794	16
22835	151
2082	566
18539	85
2574	202
4697	69
18461	242
22032	115
2211	594
24906	76
4505	613
1201	534
20263	152
2377	961
2665	2271
18435	610
4696	2859
13810	290
13355	1309
798	904
16659	431
1906	924
871	527
21992	498
2138	130
8126	335
21900	266
2515	544
11243	279
2928	705
18276	381
18465	204
1762	141
12975	667
4474	38
2545	575
6744	497
21905	672
2510	1310
22075	249
2392	451
19960	423
11530	130
19918	757
24681	544
20262	105
20052	279
17921	617
1990	139
1378	575
873	27
22744	156
18294	34
4454	234
4682	505
25661	386
18362	725
1506	509
1036	354
4491	145
2507	236
2302	575
1919	2672
20051	293
2529	226
8142	423
19815	253
17891	283
22843	15
21988	71
18387	105
2455	581
1386	609
2165	44
24729	2735
19145	1958
1570	1310
1994	2299
20036	702
1572	345
1633	682
1110	807
3247	304
20218	105
1650	148
17927	773
1956	50
2434	27
25665	746
14169	413
18271	281
19904	606
4459	595
2238	851
1129	52
1144	218
1017	100
1919	4
18515	977
