user_id	avg_pay_amt	avg_pay_amt_weekdays
0	<29	<29
1	[49,65)	[49,65)
2	[36,49)	[36,49)
3	[49,65)	[49,65)
4	<29	<29
5	[49,65)	未知
6	[36,49)	[36,49)
7	[36,49)	未知
8	>=65	>=65
9	<29	<29
10	[36,49)	[36,49)
11	[49,65)	[49,65)
12	[29,36)	[29,36)
13	<29	<29
14	>=65	>=65
15	[49,65)	[49,65)
16	[36,49)	[29,36)
17	>=65	[36,49)
18	[29,36)	[29,36)
19	[36,49)	[36,49)
20	[29,36)	[29,36)
21	[49,65)	[49,65)
22	[49,65)	[49,65)
23	>=65	>=65
24	[36,49)	[36,49)
25	<29	<29
26	<29	<29
27	>=65	>=65
28	[29,36)	[29,36)
29	[36,49)	[36,49)
30	[29,36)	[29,36)
31	[36,49)	[36,49)
32	[49,65)	[49,65)
33	[36,49)	未知
34	[36,49)	[36,49)
35	>=65	>=65
36	[29,36)	[36,49)
37	<29	<29
38	>=65	>=65
39	[36,49)	未知
40	<29	<29
41	[36,49)	[36,49)
42	>=65	[49,65)
43	[49,65)	>=65
44	[29,36)	[29,36)
45	<29	<29
46	[36,49)	[36,49)
47	<29	<29
48	[29,36)	[29,36)
49	[36,49)	[36,49)
50	<29	<29
51	<29	<29
52	<29	<29
53	<29	<29
54	[49,65)	[49,65)
55	<29	<29
56	[29,36)	[29,36)
57	<29	<29
58	>=65	[49,65)
59	<29	[29,36)
60	[36,49)	[36,49)
61	[49,65)	[36,49)
62	>=65	>=65
63	>=65	>=65
64	[36,49)	[36,49)
65	[36,49)	[36,49)
66	<29	<29
67	<29	<29
68	[29,36)	[29,36)
69	>=65	[49,65)
70	[36,49)	[36,49)
71	[29,36)	[29,36)
72	[29,36)	[29,36)
73	>=65	>=65
74	[29,36)	[29,36)
75	[29,36)	[29,36)
76	<29	<29
77	<29	<29
78	[29,36)	[29,36)
79	>=65	>=65
80	[36,49)	[36,49)
81	[36,49)	[36,49)
82	[49,65)	[49,65)
83	[36,49)	[36,49)
84	[36,49)	[36,49)
85	>=65	>=65
86	[36,49)	[36,49)
87	>=65	>=65
88	>=65	>=65
89	[36,49)	[36,49)
90	<29	<29
91	[29,36)	[29,36)
92	[49,65)	[49,65)
93	[36,49)	[36,49)
94	>=65	[49,65)
95	[36,49)	[36,49)
96	[29,36)	[29,36)
97	[29,36)	[29,36)
98	[36,49)	[36,49)
99	[36,49)	未知
100	[29,36)	[29,36)
101	[29,36)	[29,36)
102	[49,65)	未知
103	[36,49)	未知
104	[36,49)	[36,49)
105	[49,65)	[49,65)
106	[29,36)	[29,36)
107	[29,36)	[29,36)
108	[36,49)	[36,49)
109	[29,36)	[29,36)
110	[36,49)	[36,49)
111	[36,49)	[36,49)
112	[36,49)	[36,49)
113	>=65	>=65
114	[36,49)	[36,49)
115	<29	<29
116	[36,49)	未知
117	[36,49)	未知
118	>=65	>=65
119	<29	<29
120	[49,65)	[49,65)
121	[49,65)	[49,65)
122	[49,65)	[36,49)
123	[36,49)	[36,49)
124	[49,65)	[49,65)
125	[36,49)	[36,49)
126	<29	<29
127	[49,65)	未知
128	[49,65)	[49,65)
129	<29	<29
130	<29	<29
131	[36,49)	[36,49)
132	>=65	>=65
133	[29,36)	[29,36)
134	[29,36)	[29,36)
135	<29	<29
136	[36,49)	未知
137	[29,36)	<29
138	<29	<29
139	<29	<29
140	<29	<29
141	[36,49)	[36,49)
142	>=65	>=65
143	<29	<29
144	[36,49)	[36,49)
145	[49,65)	[49,65)
146	>=65	>=65
147	<29	<29
148	[36,49)	[36,49)
149	<29	<29
150	[49,65)	[49,65)
151	<29	<29
152	[36,49)	[36,49)
153	[36,49)	未知
154	<29	<29
155	[29,36)	[29,36)
156	[36,49)	未知
157	>=65	[49,65)
158	[36,49)	[36,49)
159	>=65	>=65
160	[36,49)	未知
161	[29,36)	[36,49)
162	<29	<29
163	[29,36)	[29,36)
164	>=65	>=65
165	<29	<29
166	[49,65)	[49,65)
167	<29	<29
168	[36,49)	[36,49)
169	>=65	>=65
170	<29	<29
171	<29	[29,36)
172	[49,65)	[49,65)
173	>=65	>=65
174	<29	<29
175	[49,65)	[49,65)
176	<29	<29
177	>=65	[36,49)
178	<29	<29
179	<29	<29
180	<29	<29
181	[29,36)	[29,36)
182	[36,49)	[36,49)
183	>=65	>=65
184	[49,65)	未知
185	[29,36)	[29,36)
186	[49,65)	[49,65)
187	<29	<29
188	[36,49)	[36,49)
189	>=65	>=65
190	[36,49)	[36,49)
191	>=65	>=65
192	<29	<29
193	[36,49)	未知
194	>=65	>=65
195	[49,65)	[36,49)
196	[49,65)	未知
197	[49,65)	[49,65)
198	[36,49)	[36,49)
199	[36,49)	[36,49)
200	>=65	>=65
201	>=65	>=65
202	[49,65)	[49,65)
203	[29,36)	[29,36)
204	<29	<29
205	[29,36)	[29,36)
206	[36,49)	[36,49)
207	>=65	>=65
208	<29	<29
209	<29	<29
210	[49,65)	[49,65)
211	[36,49)	[36,49)
212	[29,36)	[29,36)
213	>=65	>=65
214	>=65	>=65
215	[29,36)	[29,36)
216	[36,49)	未知
217	[36,49)	[36,49)
218	[29,36)	[29,36)
219	<29	<29
220	[29,36)	[29,36)
221	[49,65)	[36,49)
222	[36,49)	未知
223	[49,65)	[49,65)
224	<29	<29
225	<29	<29
226	[36,49)	[36,49)
227	[36,49)	[29,36)
228	<29	[29,36)
229	[49,65)	[49,65)
230	[49,65)	[49,65)
231	[29,36)	[36,49)
232	[49,65)	[49,65)
233	[29,36)	[29,36)
234	>=65	>=65
235	[36,49)	[36,49)
236	>=65	>=65
237	[36,49)	[36,49)
238	[49,65)	[49,65)
239	<29	<29
240	[36,49)	[36,49)
241	<29	<29
242	<29	<29
243	[36,49)	[36,49)
244	<29	<29
245	[49,65)	未知
246	>=65	>=65
247	[49,65)	[49,65)
248	<29	<29
249	[36,49)	[36,49)
250	<29	<29
251	[36,49)	未知
252	[36,49)	[36,49)
253	[36,49)	[36,49)
254	<29	<29
255	>=65	>=65
256	[29,36)	[29,36)
257	[29,36)	[29,36)
258	[49,65)	[49,65)
259	>=65	>=65
260	[29,36)	[29,36)
261	[49,65)	[49,65)
262	<29	<29
263	>=65	>=65
264	[49,65)	[49,65)
265	<29	<29
266	>=65	>=65
267	<29	<29
268	[49,65)	[49,65)
269	[36,49)	[36,49)
270	[49,65)	未知
271	>=65	>=65
272	[36,49)	[36,49)
273	<29	<29
274	<29	<29
275	[49,65)	>=65
276	<29	<29
277	[29,36)	[29,36)
278	>=65	[49,65)
279	>=65	>=65
280	[36,49)	[36,49)
281	<29	<29
282	<29	<29
283	[36,49)	[36,49)
284	[49,65)	[49,65)
285	[29,36)	[29,36)
286	[29,36)	[29,36)
287	[36,49)	[36,49)
288	>=65	>=65
289	>=65	>=65
290	[36,49)	[36,49)
291	<29	<29
292	>=65	>=65
293	[29,36)	[29,36)
294	[49,65)	[49,65)
295	>=65	>=65
296	[36,49)	[36,49)
297	[36,49)	[36,49)
298	[49,65)	[49,65)
299	[49,65)	[49,65)
300	[29,36)	[29,36)
301	[49,65)	[49,65)
302	[49,65)	[49,65)
303	<29	<29
304	<29	<29
305	<29	<29
306	[49,65)	[49,65)
307	[36,49)	[36,49)
308	<29	<29
309	>=65	>=65
310	[36,49)	[36,49)
311	[49,65)	[36,49)
312	>=65	>=65
313	>=65	>=65
314	[36,49)	[36,49)
315	<29	<29
316	<29	<29
317	<29	<29
318	[49,65)	[49,65)
319	>=65	>=65
320	[36,49)	[36,49)
321	[36,49)	[36,49)
322	[36,49)	[36,49)
323	[29,36)	[29,36)
324	[36,49)	<29
325	[29,36)	[29,36)
326	[49,65)	[49,65)
327	<29	<29
328	[49,65)	[49,65)
329	[29,36)	[29,36)
330	[36,49)	未知
331	[49,65)	[29,36)
332	>=65	>=65
333	[36,49)	[36,49)
334	[29,36)	[29,36)
335	<29	<29
336	[29,36)	[29,36)
337	<29	<29
338	[29,36)	[29,36)
339	[49,65)	[49,65)
340	[49,65)	[49,65)
341	[36,49)	[29,36)
342	>=65	>=65
343	[36,49)	[36,49)
344	[29,36)	[29,36)
345	[36,49)	[29,36)
346	[36,49)	未知
347	[29,36)	[29,36)
348	[29,36)	[29,36)
349	[36,49)	[36,49)
350	[36,49)	[36,49)
351	[36,49)	[36,49)
352	[29,36)	[29,36)
353	[36,49)	[36,49)
354	[49,65)	[49,65)
355	[49,65)	[49,65)
356	<29	[29,36)
357	<29	<29
358	<29	<29
359	[49,65)	[36,49)
