user_id_new	wm_poi_id_new
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	24
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	31
34	32
35	33
36	34
37	35
38	36
39	37
40	38
41	39
42	40
43	41
44	42
45	43
44	44
46	45
47	46
48	47
49	48
50	49
51	50
23	23
52	51
53	52
54	39
55	53
56	54
57	55
58	56
59	57
60	58
56	59
61	60
62	61
63	62
64	63
65	64
66	65
67	66
68	67
69	68
70	69
71	70
72	71
73	72
74	73
75	74
76	63
77	75
78	76
79	77
80	78
81	79
82	80
83	81
84	82
85	83
86	84
87	85
88	86
89	87
90	88
91	89
92	72
18	90
93	91
94	92
95	93
96	94
97	95
98	96
99	31
100	97
101	98
102	99
103	100
104	101
105	102
106	103
107	103
108	67
109	52
110	104
111	105
112	106
113	107
114	46
115	108
116	109
117	101
118	110
119	111
20	20
120	112
121	113
122	89
123	114
124	115
125	116
126	117
113	118
127	119
128	120
129	121
130	122
131	123
132	124
133	125
134	126
135	127
136	128
137	129
138	130
139	131
140	132
141	133
142	134
143	135
88	136
144	137
145	138
146	139
147	140
148	86
149	86
150	141
151	142
152	143
153	144
154	145
155	146
156	147
157	148
158	149
159	150
160	151
161	152
162	153
163	154
164	87
165	87
166	155
167	156
168	157
169	158
170	159
171	160
172	161
173	3
174	162
175	69
176	163
177	164
178	47
179	165
180	9
181	101
182	53
183	166
184	167
185	49
186	48
187	168
188	169
189	169
190	40
191	170
192	167
193	171
194	23
195	172
196	173
197	174
198	163
199	175
200	176
201	177
202	178
203	177
204	49
205	49
206	179
207	180
208	80
209	94
210	181
211	39
212	182
213	120
214	159
215	183
216	184
217	185
218	151
219	186
220	187
221	188
222	189
223	190
224	191
225	192
226	82
227	193
228	194
229	195
230	196
231	162
232	197
233	198
234	199
235	200
236	201
237	202
238	203
239	44
240	204
241	204
242	205
243	206
244	207
245	208
246	39
247	183
248	209
249	139
192	116
250	210
251	211
214	212
252	213
253	214
254	215
255	216
256	160
257	5
258	185
259	185
260	217
261	218
262	154
263	219
264	220
265	107
266	221
267	222
268	223
269	188
270	224
271	225
272	194
273	226
274	227
275	228
276	229
277	230
278	231
279	232
278	233
280	205
281	234
131	235
282	236
191	237
283	238
284	109
285	239
169	158
286	240
287	241
288	242
289	157
290	243
291	27
292	23
293	244
294	245
295	225
296	246
297	247
298	248
219	249
21	250
299	251
300	252
301	253
302	254
303	232
304	255
305	255
306	256
307	257
308	69
309	17
310	198
311	258
312	259
313	260
314	173
315	261
316	262
317	263
318	264
319	265
320	265
321	131
3	266
322	267
323	268
324	156
325	269
326	3
327	47
328	78
329	270
330	110
331	271
148	272
332	69
333	273
334	274
335	194
336	275
337	276
338	277
339	261
340	278
341	279
205	49
342	280
343	281
344	186
345	282
346	201
347	283
348	284
349	285
39	286
181	101
350	93
351	287
352	103
353	288
354	5
355	289
356	290
357	291
358	292
359	293
360	294
361	210
362	295
363	30
364	296
365	31
366	3
367	5
368	29
369	10
370	262
371	297
372	298
373	125
374	299
375	262
376	300
377	301
378	108
379	177
380	141
381	302
382	47
383	303
384	183
385	187
386	304
387	304
388	82
389	305
390	306
391	307
392	15
393	308
394	309
223	190
395	310
396	136
397	311
398	312
399	142
400	313
401	314
402	23
403	234
404	225
405	315
406	316
407	317
408	27
409	318
410	204
411	108
412	319
413	202
414	320
415	321
416	322
417	323
418	324
419	289
420	325
421	178
286	326
422	5
95	327
423	328
424	157
425	329
426	330
427	331
428	332
429	333
430	334
431	335
432	163
433	336
434	102
435	103
436	304
437	116
438	337
439	63
440	62
441	338
442	339
443	340
257	22
444	152
445	341
446	342
447	343
448	344
449	345
128	346
450	318
451	9
452	347
453	348
454	349
455	74
456	9
457	202
458	350
459	80
118	110
460	351
461	297
462	216
463	92
464	352
465	353
466	354
467	242
468	355
469	356
470	52
471	357
472	334
473	179
474	358
475	28
476	248
477	359
478	360
479	361
480	279
481	362
482	363
483	364
484	23
485	86
486	292
487	95
488	365
489	201
490	89
491	230
492	38
493	366
494	244
495	61
496	8
497	367
498	368
499	369
500	370
55	57
206	371
501	69
502	372
503	373
504	264
505	374
506	167
507	214
508	375
509	376
510	291
511	377
512	285
513	378
514	95
515	52
516	379
167	43
517	380
370	310
157	381
518	378
519	382
520	323
521	130
522	53
523	383
524	145
525	121
526	384
527	385
528	199
529	151
530	316
531	208
519	203
532	386
533	9
534	148
535	387
536	204
537	388
538	226
539	52
540	65
541	162
542	344
543	389
544	390
545	23
546	391
547	208
548	392
549	94
550	71
551	393
552	100
553	34
554	179
555	162
556	394
557	395
558	98
559	223
560	5
119	396
561	222
562	397
563	152
564	398
557	399
565	400
526	384
566	288
293	401
567	153
568	402
569	403
570	404
571	405
572	71
573	406
574	182
575	407
576	407
577	87
578	304
579	408
137	279
580	50
581	50
582	409
583	234
584	410
585	411
586	207
587	318
537	375
588	52
589	52
590	293
591	225
592	261
593	135
594	255
595	412
596	372
597	413
598	98
599	362
600	414
601	23
602	415
603	153
604	416
605	33
606	265
607	203
355	417
608	184
609	297
610	418
611	419
612	420
613	183
614	421
615	84
616	422
617	423
618	276
619	329
620	182
621	273
622	183
441	338
623	132
624	218
625	424
626	3
160	425
627	426
628	17
629	29
630	142
558	427
631	185
632	15
633	428
634	429
635	285
636	165
637	430
638	431
639	432
640	41
641	203
642	347
643	433
644	139
645	263
646	146
26	146
647	5
648	434
649	435
650	436
651	365
652	437
653	177
654	438
655	245
656	15
516	30
657	439
658	440
659	189
660	244
661	441
662	183
663	40
664	385
665	442
666	443
667	444
668	75
669	152
670	403
671	44
672	445
673	446
674	447
675	39
676	44
677	448
678	449
679	3
680	450
172	451
416	183
681	34
682	452
683	351
684	453
286	282
685	308
686	348
687	454
688	455
689	435
690	456
691	255
306	457
692	458
693	58
694	262
695	154
371	459
696	460
697	461
698	97
699	403
700	82
343	169
340	462
701	263
702	82
703	444
704	115
705	463
706	130
707	80
206	185
708	354
709	167
710	203
711	365
712	334
713	87
714	234
715	38
716	464
717	276
718	69
719	96
720	465
721	262
722	466
387	225
723	225
724	467
725	399
726	468
727	102
295	469
728	329
729	421
477	359
730	470
726	162
216	184
731	471
732	232
733	472
734	31
735	473
736	6
737	15
738	407
739	384
740	474
741	475
742	183
743	187
744	98
745	413
746	27
614	201
747	28
748	110
749	281
750	281
751	20
752	433
753	476
754	477
755	295
756	478
757	479
758	428
759	480
760	481
648	482
761	483
762	473
763	484
764	263
765	485
766	426
767	52
768	33
427	145
769	486
770	487
771	185
772	185
13	222
773	488
774	3
775	489
776	183
777	490
778	295
779	491
780	227
781	163
782	492
783	316
784	266
785	354
786	493
787	98
788	424
789	494
790	58
791	495
792	496
793	484
794	497
795	359
796	39
797	498
798	499
799	215
800	500
801	225
802	372
803	501
804	188
805	285
806	502
807	118
808	285
809	503
810	169
811	369
812	370
813	504
814	505
815	79
816	41
817	506
818	449
819	35
820	10
821	423
822	156
823	486
824	507
825	508
826	509
827	331
828	323
829	73
563	510
830	511
831	316
832	316
833	512
834	44
835	44
836	513
837	514
838	515
839	449
840	478
841	516
842	506
843	111
844	71
845	85
846	428
847	517
848	518
849	203
850	253
851	519
852	291
853	104
854	488
855	279
856	520
857	9
858	521
859	522
860	24
861	35
862	249
863	38
864	358
865	236
866	523
867	524
868	480
869	525
870	296
871	52
872	52
873	526
874	289
875	507
876	295
877	527
878	183
879	183
880	366
881	9
882	336
883	208
884	509
885	491
886	528
887	52
888	198
889	157
890	97
891	316
892	529
893	100
894	100
895	100
896	500
897	449
898	281
899	418
900	530
901	531
902	63
903	532
904	253
905	264
906	533
907	415
908	534
909	183
910	251
911	486
912	279
913	347
914	535
915	536
916	345
917	537
918	411
919	182
920	87
921	139
922	538
923	165
924	100
925	539
926	204
927	540
928	474
929	15
930	15
931	264
932	177
933	437
934	354
871	108
935	541
936	542
937	199
938	219
939	232
940	152
941	543
942	212
943	544
944	92
945	545
946	24
947	546
948	547
949	145
950	548
951	549
952	203
953	203
954	550
955	449
956	551
957	552
958	151
959	165
960	553
961	554
962	501
963	372
964	24
965	71
966	28
967	555
968	162
969	556
970	557
971	193
972	253
973	359
974	120
975	558
976	80
977	559
978	9
979	560
980	561
981	488
982	562
983	293
780	21
775	116
984	51
985	563
986	103
987	564
988	565
989	566
990	531
991	139
992	260
993	199
994	567
995	568
996	354
997	169
998	569
999	570
819	109
1000	177
1001	562
1002	571
1003	152
1004	104
1005	501
