user_id_new	wm_poi_id_new
0	0
0	146
0	0
0	130
0	2736
1	1
1	587
1	222
1	3
1	3
1	3
1	561
2	2
2	242
2	52
2	211
2	242
3	3
4	4
4	271
4	280
4	276
4	290
4	184
4	44
4	796
4	561
4	827
5	5
5	69
5	1203
5	34
5	69
5	69
6	6
6	77
6	1584
6	535
7	7
8	8
8	2554
9	9
10	10
10	1078
11	11
11	55
11	230
12	12
12	12
12	891
12	263
12	12
13	13
13	222
13	1594
13	797
13	222
13	1594
14	14
14	82
14	132
14	1061
15	15
15	69
15	69
16	16
17	17
18	18
18	90
18	282
18	18
19	19
19	364
19	32
20	20
20	20
20	508
20	508
21	21
21	250
22	22
23	23
23	23
23	719
23	953
24	24
24	1098
24	1098
24	24
25	24
25	218
25	218
25	218
26	24
26	146
26	291
26	240
26	173
26	228
26	228
26	447
26	571
27	25
27	500
27	573
27	11
27	165
27	1298
27	834
27	278
27	2706
28	26
28	447
28	187
29	27
29	38
29	1054
29	263
29	29
29	13
29	13
29	1463
29	824
29	53
29	2628
29	293
29	1658
30	28
30	199
30	162
31	29
31	240
32	30
32	323
32	111
32	102
32	1664
32	39
32	308
32	54
33	31
33	31
34	32
35	33
35	534
35	33
35	33
35	134
36	34
36	88
36	88
36	88
37	35
37	269
38	36
38	1052
39	37
40	38
40	323
40	478
41	39
41	1644
41	60
41	712
41	583
41	30
41	102
41	292
42	40
42	600
43	41
43	2098
43	280
43	944
43	1996
44	42
44	44
44	1576
44	1083
45	43
45	1173
46	45
46	129
47	46
47	46
47	1738
48	47
49	48
50	49
50	817
51	50
51	139
51	50
52	51
52	51
52	46
53	52
53	368
54	39
54	203
54	561
54	449
54	285
54	203
54	39
55	53
55	57
55	216
55	344
56	54
56	59
56	1088
56	59
56	24
57	55
58	56
58	45
58	45
59	57
60	58
61	60
61	1054
62	61
63	62
63	62
64	63
65	64
65	77
65	736
65	1549
65	736
65	1113
65	736
65	1928
65	1273
65	132
65	77
66	65
66	495
66	497
67	66
67	326
67	163
68	67
68	479
69	68
69	352
69	1705
69	225
70	69
70	449
70	125
70	449
70	743
70	100
71	70
71	70
71	750
71	617
72	71
72	109
72	74
72	58
72	662
72	234
73	72
73	516
73	170
73	743
73	627
73	317
74	73
75	74
76	63
76	105
76	52
76	1677
77	75
77	75
77	75
78	76
78	936
78	182
78	58
79	77
79	167
79	77
79	672
79	1252
79	3
79	167
79	1298
79	291
80	78
80	942
80	2373
80	132
80	327
80	107
81	79
81	314
82	80
83	81
83	81
83	140
83	81
83	623
83	81
83	754
83	265
84	82
84	10
85	83
85	1105
85	1105
85	83
85	488
85	654
86	84
87	85
87	176
87	925
88	86
89	87
89	532
89	137
89	248
90	88
90	323
90	37
90	88
90	37
91	89
91	276
91	720
91	968
91	55
92	72
92	156
92	598
93	91
93	5
93	107
94	92
94	476
94	103
94	39
94	103
94	476
95	93
95	327
95	1297
95	3
95	3
96	94
96	478
96	306
97	95
97	1257
97	302
97	603
98	96
99	31
100	97
100	97
101	98
101	98
101	563
101	1210
101	1210
102	99
102	41
102	113
103	100
103	42
103	921
103	361
103	292
104	101
104	101
104	63
104	1094
104	51
105	102
105	120
105	1436
105	586
105	38
106	103
106	145
107	103
107	9
107	103
107	169
107	187
108	67
109	52
110	104
111	105
111	703
111	211
111	211
111	597
111	971
112	106
112	106
112	45
112	308
113	107
113	118
113	2058
113	730
113	2058
113	730
114	46
114	46
114	116
114	8
114	116
114	46
114	3
114	3
114	3
115	108
115	108
115	261
115	261
116	109
116	632
116	771
116	632
116	1990
116	1594
116	109
116	632
117	101
117	554
117	2739
118	110
118	110
118	14
118	221
118	278
118	201
119	111
119	396
120	112
120	112
120	1252
120	112
121	113
121	1619
122	89
122	230
122	553
122	188
122	2452
122	541
122	2452
122	2463
123	114
123	114
123	248
123	126
123	248
123	165
123	165
123	165
123	165
123	248
123	165
123	248
124	115
125	116
126	117
126	262
126	117
126	43
126	154
127	119
127	157
128	120
128	346
128	39
128	28
128	891
129	121
129	145
129	63
129	10
129	121
129	569
129	422
130	122
130	372
130	1142
130	824
130	372
131	123
131	235
131	61
131	180
131	180
131	123
131	1322
131	1322
131	1322
131	61
131	384
132	124
132	74
133	125
133	478
134	126
134	73
135	127
135	829
135	984
135	540
135	1095
135	904
136	128
136	128
136	381
136	1187
136	2452
137	129
137	279
137	279
138	130
138	222
138	352
138	222
138	344
139	131
140	132
140	740
140	498
141	133
141	80
142	134
142	328
143	135
144	137
144	74
144	674
144	1422
144	308
145	138
145	317
146	139
146	1931
146	1931
146	30
147	140
147	534
147	351
147	703
147	351
148	86
148	272
148	899
148	1275
149	86
149	86
150	141
150	141
150	617
151	142
151	336
151	336
151	86
152	143
153	144
153	35
153	300
153	667
154	145
155	146
155	234
156	147
156	592
156	983
156	492
157	148
157	381
157	185
157	253
157	185
157	189
157	731
157	731
158	149
159	150
159	1334
159	1096
159	353
160	151
160	425
160	449
160	968
161	152
161	10
161	98
162	153
162	427
163	154
163	300
163	177
164	87
165	87
165	47
165	9
166	155
166	120
166	348
166	120
166	834
166	523
167	156
167	43
167	43
167	904
168	157
168	1618
169	158
169	158
169	953
169	158
169	158
169	813
169	479
169	479
169	1116
170	159
171	160
171	532
171	532
172	161
172	451
173	3
174	162
174	498
174	384
174	1136
174	2486
175	69
176	163
177	164
177	39
177	2452
177	2452
178	47
178	711
179	165
179	86
179	781
179	165
180	9
180	9
180	152
180	152
180	152
181	101
181	101
182	53
182	646
182	646
183	166
184	167
184	208
184	664
185	49
185	119
185	50
186	48
186	1062
186	529
186	545
186	875
187	168
187	169
187	331
187	2457
188	169
188	234
188	12
188	2
188	594
188	12
188	670
189	169
190	40
190	1464
190	1704
190	40
190	1967
190	1967
190	1464
191	170
191	237
191	400
191	1503
191	1549
191	453
192	167
192	116
192	116
192	47
193	171
193	282
193	512
193	400
193	1849
193	461
193	680
193	171
193	282
193	1292
193	1989
193	512
193	1569
193	282
193	2672
193	1292
194	23
194	176
194	658
194	399
194	1627
195	172
195	1670
195	198
196	173
196	817
196	1295
196	211
196	817
196	817
197	174
197	1756
197	968
197	532
197	323
197	616
198	163
198	183
198	293
198	86
199	175
199	1729
199	9
199	279
199	293
199	90
200	176
200	185
201	177
202	178
202	185
202	157
203	177
203	108
203	460
203	2509
203	739
203	2361
204	49
204	52
204	497
205	49
205	49
205	356
205	203
206	179
206	371
206	185
206	139
207	180
207	1363
207	1306
207	180
207	180
207	1306
207	180
207	524
207	513
207	1363
208	80
209	94
209	226
209	525
209	94
210	181
210	5
210	1644
210	1644
210	425
211	39
212	182
212	189
212	422
212	182
213	120
213	317
213	9
213	9
213	982
213	644
214	159
214	212
214	1500
214	80
214	743
215	183
215	225
215	484
216	184
216	184
216	865
216	381
216	37
216	292
216	292
216	1645
216	381
216	216
216	865
216	37
216	516
216	337
216	216
216	184
217	185
217	52
217	649
217	649
217	371
218	151
218	754
218	1330
218	122
218	530
218	754
218	908
218	1061
218	709
218	16
219	186
219	249
219	464
219	535
219	186
219	535
220	187
221	188
221	39
221	449
221	39
221	23
221	449
222	189
223	190
223	190
223	365
223	1987
223	190
223	365
223	365
223	190
223	365
223	190
224	191
224	329
224	16
224	16
224	474
224	177
224	16
224	16
224	474
224	474
224	16
224	177
224	95
224	613
224	16
225	192
226	82
227	193
227	248
227	814
227	814
228	194
228	194
228	1272
229	195
230	196
230	218
230	39
231	162
231	209
231	50
231	444
231	1704
231	567
232	197
232	1332
232	418
233	198
233	184
233	187
233	393
234	199
234	1159
234	1897
234	582
234	1133
234	828
234	1269
235	200
236	201
236	671
236	255
236	16
237	202
237	722
238	203
239	44
240	204
241	204
241	817
241	2453
242	205
242	498
243	206
243	1135
243	183
243	3
243	1335
244	207
245	208
245	600
246	39
247	183
247	10
247	183
247	221
247	79
247	82
247	488
247	384
247	1024
248	209
248	209
248	171
248	150
248	162
248	209
248	970
248	991
249	139
249	603
249	327
249	617
249	183
249	375
249	1395
249	183
250	210
250	1973
250	210
250	311
250	672
250	186
251	211
252	213
252	82
252	31
252	85
252	248
252	71
253	214
253	532
253	12
253	184
253	418
253	680
253	453
254	215
254	449
254	234
255	216
255	381
256	160
256	108
256	86
256	702
256	291
256	291
256	658
256	153
256	153
257	5
257	22
257	52
257	70
257	214
257	69
258	185
258	808
259	185
259	179
260	217
260	167
260	257
260	204
260	204
260	217
260	1413
261	218
261	988
261	52
261	1812
262	154
262	1487
262	1417
262	24
262	117
262	1422
263	219
263	1334
264	220
265	107
266	221
266	308
266	442
266	92
266	1411
266	244
266	1620
266	459
267	222
267	1309
267	303
267	295
267	2628
267	228
267	194
268	223
268	70
268	60
268	2045
268	875
268	118
268	1567
269	188
269	188
270	224
270	340
271	225
271	204
271	204
271	60
271	1253
271	1752
272	194
273	226
274	227
275	228
276	229
277	230
277	1069
277	2049
277	142
277	393
278	231
278	233
278	14
278	23
278	399
278	3
278	83
279	232
279	1570
279	1619
279	936
279	1173
279	1103
279	1099
279	953
280	205
280	210
280	283
281	234
282	236
282	331
282	273
282	331
282	273
282	718
282	273
282	273
282	273
282	711
283	238
283	279
284	109
284	109
284	109
285	239
285	381
286	240
286	326
287	241
287	1130
288	242
289	157
289	212
289	437
289	185
289	260
289	82
289	39
289	628
289	400
289	2651
290	243
291	27
291	548
291	379
291	498
291	599
292	23
292	2012
292	23
292	944
292	405
292	2012
292	23
292	2012
292	713
292	23
292	1906
292	23
293	244
293	401
293	183
293	309
293	631
293	1169
293	255
293	2503
293	53
293	2503
294	245
294	353
294	332
294	2224
294	461
294	61
294	407
294	2649
294	61
294	1363
294	203
295	225
295	469
295	403
295	269
295	676
295	2041
296	246
297	247
297	328
298	248
299	251
299	251
299	0
299	538
299	876
300	252
301	253
301	253
301	781
301	669
301	185
301	669
301	5
301	146
302	254
303	232
303	232
303	515
303	232
304	255
304	190
304	255
305	255
305	375
306	256
306	457
306	531
306	185
306	175
306	304
307	257
307	617
307	74
308	69
308	71
308	69
308	69
308	264
308	71
308	35
309	17
309	138
309	1113
309	138
309	1429
309	1542
309	1113
309	399
309	1610
309	1869
310	198
310	348
310	163
310	2647
310	163
310	85
310	85
310	27
311	258
311	456
311	456
311	456
312	259
312	1574
313	260
313	352
313	1234
313	438
313	1234
313	1627
314	173
314	216
314	784
314	183
314	603
314	183
315	261
315	164
316	262
317	263
318	264
318	120
318	52
318	592
318	328
318	120
318	400
318	423
318	164
318	120
319	265
319	423
319	27
319	279
319	423
319	279
319	35
320	265
320	486
321	131
322	267
322	267
322	267
323	268
323	268
324	156
324	100
325	269
325	15
326	3
326	772
326	56
326	56
326	56
326	1121
326	56
327	47
327	63
327	291
328	78
328	1986
329	270
329	453
330	110
331	271
331	226
331	838
331	31
331	120
331	31
331	120
332	69
332	410
332	587
332	107
333	273
333	226
334	274
334	279
335	194
335	1097
335	101
335	1142
335	1312
335	697
335	697
336	275
336	275
336	365
336	1107
336	509
337	276
338	277
338	870
339	261
339	261
340	278
340	462
341	279
341	1293
341	279
341	658
341	375
341	1228
341	1293
342	280
342	201
343	281
343	169
343	184
343	516
343	30
343	142
344	186
344	348
344	186
344	1105
344	186
344	30
344	2744
344	2756
344	250
345	282
345	582
346	201
346	919
346	183
346	664
346	10
347	283
347	210
347	784
348	284
349	285
350	93
350	891
350	891
350	891
350	93
350	93
350	809
350	613
350	613
351	287
351	1542
351	319
351	132
351	813
352	103
352	82
352	221
352	3
352	221
353	288
353	160
353	308
354	5
354	498
354	345
355	289
355	417
355	1282
355	291
355	67
355	531
355	526
355	52
355	214
355	352
355	134
355	23
355	34
356	290
356	193
357	291
357	992
357	904
357	904
357	145
358	292
359	293
359	185
359	85
359	146
359	838
360	294
360	132
360	1104
360	294
360	294
361	210
362	295
362	1128
362	49
362	730
362	1129
362	521
363	30
363	344
363	487
364	296
364	633
365	31
366	3
366	754
366	3
367	5
367	330
367	98
367	754
368	29
368	247
368	225
368	616
369	10
370	262
370	310
371	297
371	459
371	381
372	298
372	570
372	453
372	1194
372	505
373	125
373	60
373	428
373	428
373	85
374	299
375	262
375	403
375	248
375	423
375	262
376	300
377	301
377	388
377	53
377	138
377	277
377	617
377	883
378	108
378	587
379	177
379	177
379	177
379	595
379	595
380	141
380	365
380	355
381	302
381	199
381	199
381	530
382	47
383	303
383	1151
383	1158
383	82
383	167
383	1151
384	183
385	187
385	95
385	82
386	304
386	52
386	152
386	408
386	418
386	163
386	346
386	52
386	888
386	408
386	717
386	304
386	52
386	304
387	304
387	225
387	875
387	1931
388	82
388	211
389	305
389	591
390	306
390	323
391	307
391	573
391	573
392	15
392	281
392	265
392	265
393	308
393	308
393	308
393	332
394	309
394	541
394	334
394	261
395	310
395	684
395	2467
395	704
396	136
397	311
397	311
398	312
398	414
399	142
399	291
400	313
400	352
400	352
400	185
400	60
401	314
401	666
401	262
401	2463
402	23
402	1931
402	151
403	234
403	187
403	263
403	35
403	52
403	187
404	225
404	983
404	225
404	255
405	315
405	667
405	667
405	255
406	316
407	317
407	654
408	27
408	362
408	145
408	414
408	145
408	414
408	382
408	414
409	318
409	784
409	294
409	276
409	318
410	204
410	617
410	204
410	85
410	592
410	85
410	203
411	108
411	1900
411	348
411	105
412	319
412	343
412	203
413	202
413	71
413	664
413	664
413	1271
413	1960
414	320
414	320
414	320
415	321
415	1668
415	210
416	322
416	183
417	323
417	248
417	323
417	185
418	324
418	185
419	289
419	34
419	152
419	271
419	290
420	325
421	178
421	150
421	519
422	5
422	179
422	5
422	179
422	711
422	197
422	711
423	328
423	1617
423	1544
424	157
424	418
424	959
424	499
424	684
424	157
424	203
424	157
424	280
424	114
424	331
425	329
426	330
427	331
427	145
427	617
427	165
428	332
428	332
428	132
428	10
428	1105
429	333
429	1280
429	484
430	334
430	1272
430	117
431	335
431	1306
431	255
431	654
431	1363
431	1096
432	163
432	234
433	336
433	354
434	102
435	103
435	387
435	888
435	997
435	997
435	888
435	387
436	304
436	316
436	98
437	116
437	24
437	116
438	337
439	63
439	63
439	63
439	263
439	98
439	318
439	2463
439	38
440	62
441	338
442	339
442	27
443	340
443	1617
444	152
444	193
444	270
445	341
445	391
445	1508
445	1142
445	1458
445	1386
445	1508
445	154
446	342
446	185
446	779
447	343
447	779
447	456
448	344
448	280
448	954
448	568
448	280
448	344
448	568
448	513
448	692
448	344
449	345
449	226
449	323
449	1735
449	345
449	226
450	318
450	2345
450	398
450	398
451	9
451	354
451	534
452	347
452	1464
452	1977
452	5
452	5
452	210
452	1305
452	347
452	213
452	332
453	348
453	1341
453	1341
454	349
454	349
454	129
454	129
454	349
455	74
455	617
455	119
455	39
455	600
455	208
455	39
456	9
456	323
457	202
457	63
458	350
458	245
458	202
458	1149
458	326
458	43
458	1408
458	1149
458	350
459	80
460	351
460	139
460	88
461	297
461	23
461	297
461	23
461	23
461	297
461	183
462	216
462	151
462	1678
462	151
462	151
462	101
462	151
462	405
462	405
462	803
462	71
462	151
463	92
463	1454
463	1454
463	92
463	90
463	44
463	1916
464	352
465	353
465	221
466	354
466	486
466	98
467	242
467	1211
468	355
469	356
469	1087
469	348
469	1087
469	1087
469	946
469	1087
469	946
469	506
469	1466
470	52
470	160
470	1107
470	749
470	160
470	631
470	301
471	357
472	334
473	179
473	63
473	948
473	948
473	646
474	358
475	28
475	299
475	28
475	447
475	903
476	248
477	359
477	359
477	309
477	309
477	359
477	154
477	2735
478	360
478	1427
478	1718
478	1341
478	1341
478	1718
478	123
478	19
479	361
479	1845
479	1295
480	279
480	9
480	492
480	48
480	227
480	33
480	9
481	362
481	570
481	130
482	363
482	31
482	28
482	1105
482	467
482	39
483	364
483	199
483	327
484	23
484	248
484	23
484	34
485	86
485	381
486	292
486	345
486	342
487	95
487	95
487	399
488	365
488	335
488	49
488	335
489	201
489	317
489	317
489	317
490	89
490	1183
490	207
490	207
490	2257
491	230
492	38
492	38
492	1969
492	619
492	1969
492	619
493	366
493	366
494	244
494	244
494	85
494	120
494	120
494	472
494	85
494	707
494	264
494	94
495	61
496	8
496	912
496	117
496	235
497	367
498	368
498	868
499	369
499	152
499	304
499	152
499	568
499	304
499	226
499	152
499	413
499	152
499	554
500	370
500	918
501	69
502	372
502	177
503	373
503	373
503	304
503	373
503	225
504	264
504	35
505	374
506	167
506	566
506	2037
506	245
506	483
506	1141
507	214
507	188
507	139
508	375
508	116
508	375
508	214
508	214
508	116
508	451
508	466
508	103
509	376
509	39
509	39
509	1160
509	530
509	1160
509	1160
510	291
510	80
510	215
511	377
511	109
511	2047
511	1050
511	348
511	263
511	938
511	469
511	469
512	285
512	423
513	378
514	95
514	1166
514	2469
515	52
516	379
516	30
516	30
516	30
517	380
517	176
518	378
518	248
