user_id_new	wm_poi_id_new	order_price_interval
0	0	[36,49)
0	99	<29
0	0	[36,49)
0	85	<29
0	2601	<29
1	1	[29,36)
1	449	<29
1	634	[29,36)
1	2	[36,49)
1	2	[36,49)
1	2	[49,65)
1	757	>=65
2	2	[49,65)
3	3	<29
3	202	>=65
3	208	[29,36)
3	323	<29
3	218	[36,49)
3	132	<29
3	339	[36,49)
3	659	<29
3	757	[49,65)
3	684	[36,49)
4	4	[49,65)
4	111	[49,65)
4	1051	>=65
4	26	[29,36)
4	111	>=65
4	111	[49,65)
5	5	[36,49)
5	54	[36,49)
5	1355	[36,49)
5	409	<29
6	6	>=65
6	2387	>=65
7	7	<29
7	1231	<29
8	8	[36,49)
8	37	[36,49)
8	170	<29
9	9	>=65
9	136	>=65
9	897	>=65
10	10	>=65
11	11	[49,65)
12	12	>=65
13	13	[29,36)
13	13	[29,36)
14	14	<29
14	278	>=65
14	24	[49,65)
15	15	[29,36)
15	15	[49,65)
15	388	>=65
15	388	>=65
16	16	[49,65)
16	185	>=65
17	17	[36,49)
18	18	>=65
18	18	[36,49)
18	576	>=65
18	810	>=65
20	19	<29
20	99	<29
20	219	<29
20	178	<29
20	193	[36,49)
20	1061	<29
20	1061	<29
20	631	<29
20	640	<29
21	20	<29
21	631	<29
21	235	<29
22	21	<29
22	28	<29
22	1331	[29,36)
22	330	[36,49)
22	225	<29
22	787	<29
22	787	[36,49)
22	1294	<29
22	682	[49,65)
22	36	[29,36)
22	2511	[49,65)
22	221	[29,36)
22	1427	<29
23	22	<29
23	110	<29
24	23	[49,65)
24	23	[36,49)
25	24	[36,49)
26	408	[36,49)
26	89	[49,65)
27	26	[29,36)
27	60	[29,36)
27	60	[29,36)
27	60	<29
28	27	>=65
28	889	[29,36)
29	28	<29
29	442	<29
29	393	<29
30	29	<29
30	1410	<29
30	39	[36,49)
30	570	[36,49)
30	1006	[36,49)
30	224	[36,49)
30	69	[49,65)
30	220	[29,36)
31	30	[36,49)
31	1864	[29,36)
31	208	>=65
31	800	[36,49)
31	1760	[49,65)
32	31	<29
32	985	<29
33	32	>=65
33	460	[36,49)
34	33	<29
34	33	<29
34	1737	<29
36	35	<29
36	950	[36,49)
37	36	<29
37	38	<29
37	159	<29
37	261	<29
38	37	<29
39	38	<29
40	39	[49,65)
40	1331	<29
41	40	[49,65)
42	41	[36,49)
42	41	[36,49)
43	42	[49,65)
43	54	<29
43	594	[36,49)
43	1330	>=65
43	594	[49,65)
43	934	[29,36)
43	594	[49,65)
43	1676	>=65
43	1079	<29
43	87	[49,65)
43	54	<29
44	43	[36,49)
44	484	<29
45	250	<29
45	123	[29,36)
46	45	[29,36)
46	363	<29
47	46	[49,65)
47	269	>=65
47	1472	>=65
47	167	>=65
48	47	>=65
48	47	>=65
48	1530	[29,36)
48	511	<29
49	48	<29
49	74	<29
49	351	<29
49	524	[36,49)
49	174	[29,36)
50	49	[49,65)
51	50	>=65
52	51	[49,65)
52	72	<29
52	1838	<29
53	52	<29
53	52	<29
53	52	<29
54	53	<29
54	795	[29,36)
54	351	<29
55	54	<29
55	120	>=65
55	54	<29
55	536	[36,49)
55	1058	[49,65)
55	120	[49,65)
55	1104	[49,65)
55	219	[36,49)
56	55	[36,49)
56	928	[36,49)
56	928	>=65
56	55	[36,49)
56	721	[29,36)
58	57	>=65
58	124	[29,36)
58	804	[49,65)
59	58	[36,49)
60	59	<29
60	803	[29,36)
60	92	[29,36)
60	183	[49,65)
61	60	<29
61	442	<29
61	1976	<29
61	60	<29
61	1976	<29
62	323	<29
62	617	[49,65)
62	823	[29,36)
62	37	[29,36)
63	62	[29,36)
63	465	>=65
64	362	[36,49)
64	70	>=65
64	70	>=65
64	362	[49,65)
65	65	[29,36)
65	393	<29
65	677	[36,49)
66	66	<29
66	1063	<29
66	233	<29
67	23	<29
68	67	<29
68	67	<29
68	654	[29,36)
69	77	<29
70	69	>=65
70	426	[36,49)
70	1229	[36,49)
70	448	[36,49)
70	28	[29,36)
71	70	<29
71	98	<29
72	45	[36,49)
73	35	<29
74	71	<29
75	72	<29
75	454	<29
75	454	<29
