original_wm_poi_id	new_wm_poi_id
2011	0
877	1
2067	2
815	3
2721	4
1748	5
3071	6
1591	7
1686	8
1488	9
3193	10
384	11
2538	12
2172	13
1048	14
812	15
244	16
1256	17
2766	18
2252	19
3047	20
3023	21
1578	22
665	23
3230	24
1945	25
2643	26
212	27
2908	28
1045	29
3169	30
1133	31
689	32
3061	33
2428	34
2084	35
2705	36
1038	37
2736	38
2681	39
2517	40
871	41
1179	42
3132	43
866	44
3131	45
1765	46
3278	47
453	48
1093	49
1136	50
2085	51
2933	52
3187	53
2345	54
795	55
2442	56
1797	57
3247	58
2532	59
341	60
2378	61
1204	62
2695	63
1068	64
957	65
741	66
3321	67
1511	68
672	69
758	70
2406	71
1982	72
2779	73
2587	74
366	75
884	76
2901	77
530	78
667	79
182	80
204	81
346	82
48	83
2888	84
149	85
2366	86
1848	87
2102	88
2318	89
2114	90
2480	91
508	92
549	93
588	94
1396	95
419	96
752	97
3224	98
3297	99
2307	100
3196	101
1636	102
666	103
525	104
2274	105
962	106
2094	107
3305	108
1776	109
2207	110
3100	111
2239	112
293	113
273	114
2580	115
714	116
726	117
1707	118
1327	119
1835	120
1992	121
3191	122
225	123
1964	124
2842	125
972	126
465	127
2050	128
451	129
1487	130
2202	131
2367	132
294	133
215	134
2789	135
2372	136
1430	137
1	138
945	139
1541	140
2936	141
1162	142
1296	143
2837	144
184	145
2133	146
506	147
542	148
977	149
2965	150
2092	151
303	152
266	153
2560	154
64	155
1178	156
175	157
2008	158
1191	159
126	160
2545	161
2648	162
3118	163
3141	164
1030	165
651	166
3285	167
1022	168
1074	169
2941	170
1348	171
2927	172
2621	173
440	174
673	175
989	176
1127	177
579	178
3107	179
332	180
2606	181
3065	182
1896	183
1940	184
2555	185
1853	186
3041	187
764	188
1501	189
1532	190
1796	191
207	192
2668	193
3140	194
3244	195
143	196
1058	197
3063	198
629	199
2075	200
1709	201
2485	202
376	203
2567	204
731	205
2557	206
747	207
1534	208
2839	209
1560	210
3097	211
81	212
3228	213
2698	214
2137	215
3254	216
445	217
633	218
819	219
1597	220
830	221
2622	222
3198	223
112	224
1644	225
2284	226
113	227
2615	228
110	229
2577	230
426	231
2554	232
1814	233
1753	234
117	235
238	236
1645	237
924	238
2118	239
1785	240
2707	241
