original_wm_poi_id	new_wm_poi_id
2011	0
877	1
815	2
2721	3
1748	4
3071	5
1686	6
3193	7
384	8
1048	9
812	10
244	11
1256	12
2766	13
2252	14
3047	15
3023	16
1578	17
665	18
3230	19
2643	20
212	21
2908	22
1133	23
689	24
3061	25
2428	26
2705	27
2736	28
2681	29
871	30
3132	31
3131	32
1765	33
453	34
2933	35
3187	36
795	37
1797	38
341	39
2378	40
1204	41
1068	42
957	43
741	44
3321	45
1511	46
758	47
2406	48
2779	49
2587	50
2695	51
366	52
884	53
2901	54
48	55
2888	56
149	57
2366	58
1848	59
2102	60
2318	61
1982	62
2114	63
508	64
588	65
1396	66
3224	67
3297	68
1636	69
666	70
525	71
2274	72
962	73
1776	74
2207	75
3100	76
293	77
273	78
2580	79
1992	80
3191	81
225	82
465	83
2050	84
1487	85
2202	86
2367	87
294	88
215	89
2789	90
2372	91
1430	92
1	93
1541	94
1162	95
1296	96
2837	97
184	98
2133	99
506	100
542	101
977	102
2965	103
2092	104
303	105
2560	106
1178	107
126	108
2545	109
2648	110
672	111
3278	112
1030	113
651	114
1093	115
1022	116
1074	117
2517	118
2941	119
3285	120
2927	121
440	122
3118	123
989	124
1127	125
579	126
3107	127
332	128
2606	129
3065	130
1191	131
1940	132
1853	133
764	134
1532	135
346	136
2668	137
3140	138
3244	139
1058	140
3063	141
629	142
2075	143
1709	144
2485	145
376	146
2567	147
731	148
2557	149
747	150
1534	151
1896	152
945	153
714	154
1560	155
81	156
3228	157
2698	158
3254	159
445	160
633	161
819	162
1597	163
830	164
3198	165
112	166
1644	167
2284	168
110	169
2577	170
426	171
2554	172
1814	173
1753	174
117	175
1645	176
2118	177
1785	178
3025	179
175	180
2496	181
1882	182
2509	183
2283	184
223	185
693	186
2304	187
66	188
3075	189
2111	190
2347	191
3031	192
2621	193
3052	194
2996	195
2758	196
1767	197
847	198
1581	199
530	200
3314	201
1918	202
3205	203
754	204
938	205
1777	206
450	207
2569	208
1334	209
187	210
1768	211
745	212
1363	213
549	214
1900	215
390	216
3059	217
402	218
1593	219
1721	220
1459	221
2769	222
833	223
3169	224
1045	225
1733	226
1954	227
2842	228
534	229
805	230
3305	231
2936	232
894	233
886	234
3041	235
2834	236
1915	237
58	238
642	239
586	240
634	241
