user_id_new	wm_poi_id_new	order_price_interval
0	163	<29
0	99	<29
0	99	<29
0	163	<29
0	330	<29
0	163	<29
0	1061	<29
0	98	<29
1	1662	[36,49)
1	1662	[29,36)
1	64	[29,36)
1	800	[36,49)
1	1077	[29,36)
1	210	[29,36)
1	1077	[49,65)
1	1077	<29
1	1202	<29
1	336	[36,49)
1	1954	[29,36)
1	433	<29
1	144	[49,65)
1	23	<29
1	449	<29
1	449	<29
1	110	<29
1	161	[36,49)
1	1954	[36,49)
1	1412	<29
1	1412	[29,36)
1	411	[29,36)
2	1648	>=65
2	539	>=65
3	28	<29
3	28	[36,49)
3	236	[49,65)
3	161	<29
3	447	[36,49)
3	183	<29
3	155	<29
3	363	[29,36)
4	379	<29
4	1006	[29,36)
4	111	[49,65)
4	21	<29
4	217	[29,36)
4	501	[49,65)
4	8	<29
4	21	<29
4	125	<29
4	481	[29,36)
4	744	[36,49)
4	1350	[36,49)
4	323	[29,36)
4	125	<29
4	501	[36,49)
4	161	[29,36)
4	1051	[36,49)
4	161	<29
4	111	[36,49)
4	323	<29
4	339	>=65
4	391	[49,65)
4	8	<29
4	744	[36,49)
4	1253	<29
4	26	<29
4	1051	[29,36)
4	323	<29
5	451	[29,36)
5	1071	>=65
5	1071	>=65
5	40	[29,36)
5	1524	[36,49)
5	40	[29,36)
5	273	[29,36)
5	1929	<29
5	1070	[36,49)
5	409	<29
5	1355	[36,49)
5	409	<29
5	510	>=65
6	2058	>=65
6	539	>=65
6	1789	>=65
6	1440	>=65
6	456	>=65
6	111	>=65
6	575	>=65
6	317	>=65
6	2460	>=65
7	1367	[29,36)
7	1208	[29,36)
7	1357	[29,36)
7	1208	[36,49)
8	315	>=65
9	1470	>=65
9	364	>=65
9	256	>=65
10	105	[36,49)
10	319	>=65
10	854	>=65
10	1413	>=65
10	1413	>=65
10	140	[49,65)
10	162	>=65
11	226	>=65
11	152	>=65
11	459	[29,36)
12	1426	>=65
13	13	[36,49)
13	0	[29,36)
13	0	[29,36)
13	13	[36,49)
13	0	[29,36)
13	0	[29,36)
13	323	<29
13	336	<29
13	13	[36,49)
13	63	<29
13	63	<29
13	0	[36,49)
13	323	<29
13	63	<29
13	63	[29,36)
14	579	>=65
15	210	<29
15	15	<29
15	1445	<29
15	168	<29
15	342	<29
15	168	<29
15	15	[36,49)
15	803	[29,36)
15	23	<29
15	118	[36,49)
15	342	<29
15	70	>=65
16	185	[36,49)
17	572	<29
17	17	[29,36)
17	1516	>=65
17	572	<29
17	601	>=65
17	572	<29
17	572	<29
17	572	<29
17	456	>=65
18	359	[49,65)
18	715	[49,65)
18	439	[49,65)
18	474	>=65
18	319	>=65
18	558	[29,36)
18	772	<29
18	29	[29,36)
18	439	>=65
18	29	>=65
18	29	[49,65)
18	43	>=65
18	708	[49,65)
18	188	[36,49)
18	345	>=65
18	322	[36,49)
18	188	>=65
18	456	>=65
18	456	>=65
19	535	<29
19	56	[36,49)
19	70	>=65
19	146	[36,49)
19	511	<29
19	146	[36,49)
19	511	<29
19	511	<29
19	70	>=65
20	219	<29
20	98	<29
20	219	<29
20	366	<29
20	366	<29
20	98	<29
20	219	<29
20	379	<29
20	330	<29
20	330	[29,36)
20	19	<29
20	366	<29
21	30	<29
21	1228	<29
21	36	<29
22	1481	[49,65)
22	677	[49,65)
22	322	[29,36)
22	1736	[29,36)
22	1522	>=65
22	525	<29
22	125	<29
22	1522	>=65
22	161	>=65
22	1481	[29,36)
22	224	>=65
22	1455	<29
22	35	<29
22	376	[36,49)
22	322	<29
22	677	[36,49)
22	1455	<29
22	1736	[29,36)
22	259	[36,49)
22	1294	<29
22	682	>=65
22	28	<29
22	21	<29
22	682	[49,65)
22	734	>=65
22	1294	<29
22	787	<29
22	35	[36,49)
23	35	<29
23	552	<29
23	211	<29
23	511	[49,65)
23	288	<29
24	38	[36,49)
24	23	<29
24	111	[49,65)
24	23	[36,49)
24	448	[49,65)
25	1960	>=65
26	355	[36,49)
26	732	>=65
26	185	[49,65)
26	355	>=65
27	1756	<29
27	1639	[29,36)
27	5	<29
27	1959	[36,49)
27	945	<29
27	1639	[36,49)
27	1639	[36,49)
27	2541	[29,36)
27	945	<29
27	1074	<29
27	1113	[29,36)
27	1074	[29,36)
27	1074	[29,36)
27	2432	<29
27	1639	[29,36)
28	471	[49,65)
28	1617	>=65
28	355	>=65
29	474	<29
29	117	<29
29	48	<29
29	910	<29
29	675	<29
29	196	<29
29	543	<29
29	2649	<29
29	2649	<29
29	123	<29
29	439	<29
29	823	<29
29	1253	<29
29	314	<29
29	232	<29
29	462	<29
29	231	<29
29	196	<29
29	288	<29
29	21	<29
29	366	<29
29	221	<29
29	643	<29
29	85	<29
29	631	<29
30	105	<29
30	347	[36,49)
30	105	<29
30	1410	<29
30	2170	<29
30	2170	<29
30	140	[36,49)
30	105	<29
30	1001	[36,49)
30	570	[29,36)
30	105	<29
30	575	[29,36)
30	750	[36,49)
30	1283	<29
30	8	<29
30	8	[29,36)
30	105	<29
30	207	[36,49)
30	575	[36,49)
30	1410	<29
30	301	<29
30	1310	<29
30	50	[36,49)
30	139	[36,49)
30	961	<29
30	1006	[29,36)
30	699	<29
30	207	[36,49)
30	634	<29
30	570	[36,49)
30	224	[36,49)
30	224	[36,49)
30	1006	[36,49)
30	699	<29
30	224	[36,49)
30	268	<29
30	17	<29
30	76	[49,65)
30	279	[36,49)
31	1	<29
31	162	>=65
31	920	>=65
31	1	[36,49)
31	1391	>=65
31	1	[29,36)
31	1	<29
31	157	[49,65)
31	50	>=65
31	679	[29,36)
31	1	[49,65)
31	679	[36,49)
31	459	<29
31	309	>=65
32	210	<29
32	1954	<29
32	1628	<29
32	770	<29
32	93	[36,49)
33	910	<29
33	460	[36,49)
33	69	[36,49)
33	1815	[36,49)
33	32	[29,36)
34	2154	<29
34	511	<29
34	484	<29
34	153	[29,36)
34	484	<29
34	484	<29
34	323	<29
34	988	<29
34	988	<29
34	284	<29
35	436	<29
35	596	[29,36)
35	34	[36,49)
35	34	>=65
35	1736	[49,65)
35	436	<29
35	436	<29
35	1785	<29
35	34	[36,49)
35	34	[36,49)
36	87	<29
36	1438	<29
36	206	<29
36	865	<29
36	1929	<29
36	266	>=65
36	972	<29
36	935	<29
36	935	<29
36	1208	[29,36)
36	1560	>=65
37	231	<29
37	1668	[29,36)
37	1435	[36,49)
37	36	<29
37	442	[29,36)
37	1435	[36,49)
37	1436	[29,36)
37	337	<29
37	190	<29
37	90	<29
37	1720	[36,49)
37	90	<29
37	147	<29
37	146	[36,49)
37	90	[29,36)
37	25	[29,36)
37	25	[29,36)
37	111	[36,49)
37	146	[36,49)
37	23	<29
37	481	<29
37	25	[29,36)
37	1678	[49,65)
37	415	[29,36)
37	1678	[49,65)
38	45	<29
38	424	<29
38	355	<29
38	161	[29,36)
38	1069	<29
38	292	<29
38	1065	<29
38	65	<29
39	57	<29
39	543	<29
39	58	<29
39	18	<29
39	634	<29
39	85	<29
39	543	<29
39	57	<29
40	2014	[29,36)
40	387	[36,49)
40	382	[36,49)
40	45	>=65
40	2014	[36,49)
40	159	[36,49)
40	1276	[36,49)
41	35	[49,65)
41	353	>=65
41	1201	>=65
41	70	[49,65)
41	1636	>=65
41	260	>=65
41	715	>=65
42	136	[36,49)
42	66	>=65
42	1814	[49,65)
42	1438	>=65
42	772	[36,49)
42	136	>=65
42	594	<29
43	611	>=65
43	611	>=65
44	379	<29
44	508	[29,36)
44	263	<29
44	1648	<29
44	442	<29
44	379	<29
44	368	<29
45	44	<29
45	44	<29
46	429	[36,49)
46	429	[36,49)
46	489	<29
46	1101	[49,65)
46	363	<29
46	363	<29
46	35	[36,49)
46	2287	<29
46	549	>=65
46	618	<29
46	2281	[29,36)
46	388	[29,36)
47	829	[36,49)
47	146	>=65
47	18	[29,36)
47	18	[49,65)
47	89	[29,36)
47	1470	>=65
47	45	[49,65)
47	1340	>=65
48	1890	[29,36)
48	102	[29,36)
48	142	<29
48	156	[36,49)
49	21	<29
49	88	[29,36)
49	389	<29
49	140	[49,65)
49	140	[49,65)
49	88	[29,36)
49	355	[36,49)
49	168	[36,49)
49	113	[36,49)
49	30	[36,49)
49	287	<29
49	37	<29
49	89	[29,36)
51	619	[36,49)
51	288	[29,36)
51	346	<29
52	885	<29
52	647	[29,36)
53	11	<29
53	115	[36,49)
53	250	<29
53	52	<29
53	250	<29
53	250	<29
53	225	<29
53	235	<29
53	52	<29
53	52	<29
53	338	<29
53	52	<29
53	338	<29
53	250	<29
54	168	<29
54	389	[36,49)
54	1010	<29
54	236	[49,65)
55	194	[49,65)
55	593	[49,65)
55	2	>=65
55	2645	>=65
55	2	>=65
55	125	[49,65)
55	2	>=65
55	2	>=65
55	339	>=65
55	38	[36,49)
55	38	[49,65)
55	48	[36,49)
55	727	[36,49)
55	48	[36,49)
55	153	[36,49)
55	916	[49,65)
55	1713	>=65
55	54	[36,49)
55	1488	[49,65)
55	54	[36,49)
56	724	[49,65)
56	431	[49,65)
56	433	[49,65)
56	279	>=65
56	371	[29,36)
56	721	>=65
56	1212	[36,49)
56	371	[29,36)
56	152	>=65
56	1618	[49,65)
56	172	>=65
57	111	[49,65)
57	111	[49,65)
58	1449	[36,49)
58	1348	[49,65)
59	111	>=65
59	97	[49,65)
59	406	>=65
59	58	<29
59	406	>=65
60	833	<29
60	803	<29
60	183	<29
60	592	<29
60	77	[36,49)
60	77	[29,36)
60	183	<29
60	85	<29
61	274	<29
61	60	<29
62	823	[29,36)
62	422	[29,36)
62	591	[29,36)
63	986	[29,36)
63	465	>=65
64	140	[49,65)
64	327	>=65
64	70	>=65
64	354	[29,36)
65	147	<29
66	1161	<29
66	193	[29,36)
66	783	<29
67	2600	[36,49)
67	328	[49,65)
68	221	<29
68	654	<29
68	1020	[29,36)
68	236	[36,49)
69	1598	[29,36)
70	386	[36,49)
70	397	>=65
70	386	<29
70	386	<29
70	697	[36,49)
70	657	[36,49)
70	426	[36,49)
70	426	[49,65)
70	355	[29,36)
70	208	>=65
70	269	[36,49)
70	386	[36,49)
71	618	<29
71	552	[36,49)
71	368	[29,36)
72	706	<29
72	733	[36,49)
72	2874	>=65
72	37	[29,36)
72	657	[36,49)
72	697	[29,36)
72	1612	[36,49)
73	211	[36,49)
74	1325	[29,36)
75	17	[36,49)
75	387	<29
75	564	[36,49)
75	287	<29
75	564	[29,36)
76	128	[29,36)
76	490	[49,65)
76	73	[36,49)
76	128	[29,36)
76	40	[49,65)
76	128	[36,49)
76	73	[29,36)
76	1138	[36,49)
76	128	>=65
76	55	<29
76	132	<29
76	913	[49,65)
76	73	<29
76	40	[49,65)
76	1164	[29,36)
